Text,Polarity ,
পথে পথে গ্যাস লাইনে লিকেজ।,Negative,
কিছু মেরামত হলেও বাকিটা পড়ে থাকে এমনিতেই।,Negative,
লিকেজ থেকে বাতাসে ছড়াচ্ছে দূষণ,Negative,
পাইপ কেনাকাটায় দূর্নীতি হয়েছে কিনা কে জানে!!,Negative,
অবৈধ সংযোগ এর অন্যতম কারণ,Negative,
নারায়ণগঞ্জে মসজিদে বিস্ফোরণে ছেলে ইমাম হোসেনের শরীরের ৯০ শতাংশের বেশি পুড়ে গেছে।,Negative,
আসুন দেখে নেয়া যাক কি কি কারণে এসি বিস্ফোরিত হতে পারে।,Neutral,
র্ধিত চাপ এবং তাপমাত্রায় কমপ্রেসর অত্যধিক গরম হয়ে বিস্ফোরিত হতে পারে।,Negative,
জাস্টিন ট্রুডোর দাড়ি নিয়ে যত রাজনীতি,Negative,
১৮ আগস্ট নিউইয়র্কগামী টার্কিশ এয়ারলাইনসের একটি ফ্লাইট কানাডার কুইবেক বিমানবন্দরে জরুরি অবতরণ করেছে।,Neutral,
ফ্লাইটে অধিকাংশ যাত্রীই ছিলো বাংলাদেশি।,Neutral,
ফ্লাইটে থাকা একজন বাংলাদেশি যাত্রীর শারীরিক অসুস্থতার কারণে ফ্লাইটটি জরুরি অবতরণ করে।,Negative,
বিল মরনো ২০১৫ সাল থেকে কানাডার অর্থমন্ত্রী।,Neutral,
তিনি সেই পদ থেকে পদত্যাগ করতে বাধ্য হলেন।,Negative,
এমনকি এমপি পদ থেকেও তিনি পদত্যাগ করেছেন।,Negative,
কিন্তু কেন এই পদত্যাগ?,Negative,
কারন বিরোধীদল দাবী করেছিল বলে।,Negative,
কারন বললে অনেকের কাছেই অতি তুচ্ছ মনে হবে।,Negative,
"আবার যারা সরকার বা বিরোধী দল, সকলেরই গনতান্ত্রিক অধিকারে সমানভাবে বিশ্বাস করেন, তাদের কাছে তুচ্ছ নয়।",Positive,
"অর্থাৎ মাত্র ৪১,৩৬৬ ডলারের অনৈতিক সুবিধা নেবার জন্য তাকে পদত্যাগ করতে হলো।",Negative,
সেই “উই চ্যারিটি” সংগঠনের ট্রাভেল বিভাগে অর্থমন্ত্রীর এক মেয়ে চাকুরী করতেন এবং অপর মেয়ে স্বেচ্ছাশ্রম দিতেন।,Neutral,
সেই সংগঠনের সাথেই বর্তমান সরকার ৯০০ মিলিয়ন ডলার সরকারী অনুদান কানাডার ছাত্রদের মধ্যে বন্টন করার দায়িত্ব দিতে চুক্তি করেছিলেন।,Neutral,
অর্থাৎ কানাডার সরকারের সাথে চুক্তি হলেও সেই মিটিংয়ে প্রধানমন্ত্রী ও অর্থমন্ত্রীর উপস্হিত থাকা উচিত হয় নি।,Negative,
যেহেতু এই দুজনের আত্মীয়রা সেখানে কাজ করেন। হতে পারেন তারা প্রধানমন্ত্রী বা অর্থমন্ত্রী!,Neutral,
"প্রথম অন্যায় হলো, কনফ্লিক্ট অব ইন্টারেষ্ট নামক একটি অনৈতিক অন্যায় হয়েছে।",Negative,
যেটার তদন্ত করছে কানাডার গনতন্ত্রের অতন্দ্র প্রহরী এথিকস কমিশন।,Neutral,
প্রতি বছর গণমাধ্যমে গড়ে পাঁচ-আটজন শিক্ষকের গবেষণা জালিয়াতির খবর প্রকাশ পায়।,Negative,
অসাধু শিক্ষকরা তাদের পদোন্নতির লোভে অন্যের গবেষণা নিজের নামে চালিয়ে দেয়ার চেষ্টা করেন।,Negative,
ঢাকা বিশ্ববিদ্যালয়ের কোনো শিক্ষকের বিরুদ্ধে গবেষণা জালিয়াতির অভিযোগ এবারই প্রথম নয়।,Negative,
বাংলাদেশে বায়োটেকনোলজি খাতে ৩০০ মিলিয়ন ডলার বিনিয়োগ করতে যাচ্ছে বিশ্ববিখ্যাত বায়োটেক কোম্পানি ওরিকস।,Positive,
যার মাধ্যমে সরাসরি কর্মসংস্থান হবে প্রায় ২ হাজার মানুষের।,Positive,
আজ সকালে এই বিষয়ে রাজধানীর আইসিটি টাওয়ারে বাংলাদেশ হাইটেক পার্ক কর্তৃপক্ষের সাথে দুটি প্রতিষ্ঠানের মধ্যে একটি ত্রিপক্ষীয় চুক্তি স্বাক্ষরিত হয়।,Positive,
বিস্তারিত কুমার বিশ্বজিত রায়ের প্রতিবেদনে।,Neutral,
"এই প্রযুক্তি ব্যবহার করে মানব প্লাজমা থেকে তৈরি হচ্ছে এইচআইভি এইডস, ক্যান্সার ও মহামারী করোনাসহ বিভিন্ন প্রাণঘাতী ভাইরাসের প্রতিষেধক।",Positive,
"ওসি প্রদীপ দুই আমলের প্রধানমন্ত্রীর কাছে পদক লাভ করে, অবশেষে ঘাতক হয়ে নিভে গেলো।",Negative,
পৃথিবীর অন্যত্র পুরস্কার মানুষকে বিনয়ী ও দায়িত্বশীল করে;,Positive,
দুবাই থেকে বিমানে ওঠার ঠিক আগে শরফুদ্দীন সামাজিক মাধ্যমে পোস্ট করে জানিয়েছিলেন যে আর ঘণ্টা পাঁচেক পরেই তারা দেশে ফিরছেন।,Neutral,
"বিমান ল্যান্ড করলো ঠিকই, কিন্তু তার আর বাড়ি ফেরা হল না।",Negative,
"জানা যায়, ১৫ বছর আগ থেকে এই ভাতা পেয়ে আসছেন শিক্ষকরা।",Neutral,
যার পরিমাণ প্রথমদিকে ছিল পাঁচশ টাকা।,Neutral,
ক্রমান্বয়ে এটি এখন পাঁচ হাজার টাকা হয়েছে।,Positive,
"মাসআল্লাহ, অনেক ভালো থেকো তোমরা।",Positive,
লকডাউন তখনো শেষ হয় নাই তাই দূরে কোথাও যেতে পারতিছিনা,Negative,
বাংলাদেশের ক্রিকেটের মহারাজা মাঠে ফিরবে নতুন শক্তিতে এই প্রত্যাশায় কোটি ক্রিকেটপ্রেমী,Positive,
আমরা সবাই বিভিন্ন দেশের ফুটবল টিম ভক্ত কিন্তু তারও আগে আমরা নিজ দেশ বাংলাদেশ ফুটবল টিম ভক্ত।,Neutral,
ভিয়েতনাম বাংলাদেশের পরে স্বাধীন হয়ে আজকে এমন অবস্থায় গিয়েছে যে বাংলাদেশ থেকে বৈধ অবৈধ ভাবে শ্রমিক রপ্তানি হয়।,Negative,
হুয়াওয়ে যা করছে আসলেই সাহসের কাজ।,Positive,
এখন পয'ন্ত আমাদের স্কুলকলেজ গুলোর করোনাকালীন নিরাপত্তা নিশ্চিত করার সক্ষমতা হয়নি। ,Negative,
খুব ভাল উদ্যোগ ইতিপূর্বে আমরা ছেলেদের ম্যাচে নারী রেফারি দেখেছি 😍😍,Positive,
এটা বাকিরা বুঝলেও আমাদের দেশের সরকার এবং প্রশাসন কোনদিনও বুঝবে না।,Negative,
আমি মনে প্রানে ব্রাজিল সাপোর্ট করি.. তার পরে ও মেসি আমার প্রিয় খেলোয়াড় এর মধ্য একজন... শুভ কামনা রইলো মেসির জন্য,Positive,
"অসাধারন সুন্দর জায়গা, দেখলেই মন ভালো হয়ে যায়।",Positive,
৪০-৫০ জন গেলে মাথাপিছু কত খরচ পড়তে পারে কেউ বলবেন??,Neutral,
ভাই ভয় দেখায়েন না 😧😧,Negative,
ডাক বাংলোর রুম ভাড়ার জন্য মোবাইল নম্বর টা দিবেন প্লিজ?? জানালে খুবই উপকার হবে,Neutral,
এখন ঘুষ ছাড়াও পাসপোর্ট হাতে পাওয়া যায়।,Positive,
সবার জন্য ওপেন চ্যালেঞ্জ দিলাম। ,Neutral,
"আপনি ইভেন্ট দেন, ছবি পোস্ট করুন।",Neutral,
"অনেক সুন্দর ও ভাল কথা বলেছেন ভাইজান😊❤ পরিচ্ছন্নতা শুরু হোক আমাদের থেকেই, ইনশাআল্লাহ একদিন সফল হবোই😊",Positive,
আমরা সবাই যদি নিজ নিজ অবস্থান থেকে সচেতন হই তবেই আমরা পরিষ্কার পরিচ্ছন্ন দেশ পাবো।,Positive,
আমি সশরীরে বা অর্থনৈতিক ভাবে হয়তো আপনাদের পাশে নেই কিন্তু সুন্দর কাজের প্রশংসা এবং উৎসাহ করি।,Positive,
"আমার মনে হয় যতগুলো টুর এজেন্সি টুর নিয়ে যায় ,তারা যদি উদ্যাগ নেই !! তাহলে আমাদের দেশ ময়লা থেকে বাচবে।",Positive,
"পার‌লে যারা এসব প‌্যা‌কেট, বোতল ফে‌লে মা‌ঝে মা‌ঝে তা‌দের ছ‌বিও দি‌য়েন আমরা তা‌দের ছ‌বি‌তে জুতা ক‌মেন্ট করব।",Negative,
"খুব ভালো বলেছেন ভাই। শুধু পরিবেশের নয়, মানুষের মনের আবর্জনা পরিষ্কার করা জরুরী।",Positive,
অারে ভাই যে ভাবেই হোকসঠিক টীকা যততারাতাড়ি আসতে পারে তার জন্য দোয়া করেন,Positive,
বেক্সিমকোর শেয়ার দর বৃদ্ধিতে খুব ভূমিকা রাখছিল এই চুক্তি,Positive,
কত টিকা বাহির হচ্ছে কোনটাই সফল হতে দেখিনা আল্লাহ জানে শেষ পর্যন্ত আমাদের কপালে কি আছে।,Negative,
"রাশিয়াকে ঠেকাতে আমেরিকা আল-কায়েদা সৃষ্টি করেছিল, তালিবানরা সেই বিষাক্ত বীজের বিষবৃক্ষ।",Negative,
বহিঃবিশ্বে গবেষনা চুরি করে আর আমাদের দেশে খোদ গবেষক কেই চুরি করে ফেলে,Negative,
আমরা যদি এখন চোরকে চোর বলি উনারা আবার ডিজিটাল আইনে মামলা দিবেন???,Negative,
চোখ বন্ধ করে রাখলেই দুর্যোগ থেমে থাকেনা,Negative,
মানুষ এখন আর করোনাভাইরাস কে ভয় পায় না।,Negative,
"এরকম খাবার যে শরীরের জন্য মারাত্নক ক্ষতিকর, তা আমরা অনেকেই জানি কিন্তু খাওয়ার সময় চিন্তা করি একটু খানি খেলে কি আর হবে",Negative,
এভাবেই নিজের বিপদ নিজেই ডেকে আনি।,Negative,
"অস্বাস্থ্যকর খাদ্য শুধু হৃদরোগজনিত সমস্যাই শুধু বৃদ্ধি করছে তা নয়, বেশ কিছু সাধারণ রোগের মূলে এসব খাদ্য প্রভাব রাখে।",Negative,
বর্তমান সময়ে ব্যস্ততার জন্য মানুষ এসব খাবারের উপর নির্ভরশীল হয়ে পড়েছেন,Negative,
টেকসই উন্নয়নের জন্য টেকসই ও নিরাপদ খাদ্য ব্যবস্থাপনা বাড়ানোর বিকল্প নেই।,,
"এগুলো মূলত রাষ্ট্র দেখার দায়ীত্ব, এখন রাষ্ট্রের মধ্যেই ভেজাল ঢুকে আছে, তো কে দেখবে জনগনের এসব সমস্যা!!!",Negative,
এই সকল অসাধু ব্যবসায়ীদেরকে কঠিন শাস্তির আওতায় আনা দরকার,Negative,
এখন দেশের যে পরিস্থিতি তাতে বাংলাদেশ থাকা নিরাপদ নয়।,Negative,
 যত মানুষ তত বেশি সমস্যা ।,Negative,
সমস্যা সামলাতে হলে প্রথমে নিয়ন্ত্রণ করতে হবে জনসংখ্যার বিস্ফোরণ।,Negative,
আমেরিকার মতো একটি দেশের ওপর আজীবন নির্ভরশীল থাকাটা গুরুত্বপূর্ণ বিপদ।,Negative,
যে কোন অপরাধের শাস্তি বরখাস্ত যুক্তিসঙ্গত নয় এবং অপরাধপ্রবণতা হ্রাসে সহায়ক নয়,Negative,
যারা তিতাস গ্যাসের লাইন নস্ট করে মসজিদের ফাউন্ডেশন বানালো তাদেরকে বিচারের আওতায় আনাও জরুরি।,Negative,
"পুলিশ বিভাগের ৯৯% সদস্য সৎ,কর্মঠ, দায়িত্বশীল, বিশ্বস্ত হয়েও সুবিচার পাচ্ছে না সুশান্ত!",Negative,
এসব ক্ষুদ্র বিষয় নিয়ে বিবিসির সংবাদ আশা করি নাই,Negative,
বিচার না হলে বিশ্ব থেকে মানবতা চলে যাবে।,Negative,
"যতদিন রাশিয়া, চীন ও ভারত মিয়ানমারের উপর কোন কার্যকর চাপ প্রয়োগ না করবে, ততদিন রোহিঙ্গা সমস্যার সহজ সমাধান হবে না।",Negative,
মিয়ানমার ও সুচির বিরুদ্ধে বিশ্বের অন্য কোনও দেশ ব্যবস্থা নিবে না,Negative,
জাতিসংঘের উচিত জাতিগত নিধনের অপরাধে মায়ানমারের বিরোদ্ধে সামরিক হামলা করা।,Negative,
তারপরও ধন্যবাদ একটা ক্ষতিকর বিষয়কে সবার সামনে আনার জন্য,Positive,
এই মাছ আমাদের দেশের জন্য ক্ষতিকর হলেও এই মাছতো এখন প্রায় সব জায়গাতেই পাওয়া যাচ্ছে,Neutral,
"লাভের জন্য সবজি বাজারে, পিয়াজের বাজারে, চালের বাজারে সিনিডিকেট । ",Negative,
জনগণের কথা ভেবে ব্যবসা করলে তো আর কোটি কোটি টাকার মালিক হওয়া যাবেনা ।,Negative,
"আফ্রিকা ভালো করে জানে ,এই আবর্জনা দিয়েও বৈদেশিক মুদ্রা অর্জন করা সম্ভব, তাই তাদের বিদেশমন্ত্রী বাংলাদেশকে পকেটে বরছে 😀😒😒",negative,
ক্ষমতাসিলরাই বেশি অপরাধে জড়াচ্ছে।,Negative,
আরাফাত চৌধুরীর মতো চৌকষ তরুণরা দেশের বিভিন্ন অঙ্গনকে উজ্জ্বল করলে সুন্দর দিন আসবেই।,Positive,
বর্তমান যুগে সার্টিফিকেট বিহীন প্রতিভাবানদের মূল্য নেই বললেই চলে! সার্টিফিকেট কখনো মেধার পরিচয় বহন করেনা।,Negative,
খুব ভাল কাজ হয়ছে। আইনের ছাত্র হিসেবে গোয়েন্দা কাজের হাতেখড়িও হয়ে গেল।,Positive,
"এটা নিতান্তই একটা অনুপযোগী উদ্যোগ, বুথ সেবা কতটা গুরুত্বপূর্ণ তা বলার বাহিরে ।",Negative,
আমাদের দেশে প্রসাশনের কি অবস্থা এতেই বুঝা যায়।,Negative,
ভীষণ ট্যালেন্ট আপনি!!মুগ্ধ হয়ে শুনছিলাম এবং দেখছিলাম,Positive,
অবাক হয়ে শুধু দুজনের হাতের দিকেই তাকিয়ে ছিলাম।,Positive,
" কি অসাধারণ দক্ষতা, নির্ভূলভাবে দুজনের হাত সমানতালে চলছে।",Positive,
আমি আপনার ফ্যান হয়েছি আপনার অংক শেখানো দেখে।,Positive,
সত্যিই আমাদের ছোটবেলায় যদি আপনাকে আমি পেতাম আরো ভালো হতো।,Positive,
"ক্যালকুলাস এ উনার বই পড়ে অনেক মজা আর শিখতে পেরেছি,তাই বলতে আপত্তি নেই তিনি আমার গুরুও❤️",Positive,
"অনেএএকদিন যাবত খুজতেছিলাম ভাই, ""ত্রিঘাত সমীকরণের সাধারণ সমাধান"" আপনাকে অগ্রিম ধন্যবাদ 🤩🥰",Positive,
"ভাইয়া, আপনার লাইভ গুলো ইউটিউবে আপলোড করে দিলে খুব করে দিলে খুব ভালো হয়।",Positive,
আপনি বুয়েটে ছাএ থাকা অবস্থা থেকে আপনাকে ভালো লাগে।,Positive,
আয়মান আসলেই ব্রিলিয়ান্ট কাকে কখন ব্যবহার করতে হয় বেশ ভালো করে জানে এবং বুঝে গেছে।,Positive,
আয়মান সাদিক কে নিয়ে তেমন কিছুর আর বলার নেই। ,,
কিন্তু চমক ভাই আপনি সাবধানে থাইকেন লাইভ করার সময়। ,Positive,
আপনার গণিতের ভিডিও দেখবো বলে অধীর আগ্রহে অপেক্ষা করে থাকি,Positive,
"এই সময় সামাজিক দূরত্ব বজায় রাখা বেশ জরুরি, দয়াকরে নিরাপদ সামাজিক দূরত্ব বজায় রাখুন",Positive,
আন্তরিক ধন্যবাদ এবং ঈদ মোবারক সবাইকে।,Positive,
সত্যি বলতে অঙ্ক বোঝানোটা এই ভিডিওর মূল উদ্দেশ্য ছিল না।,Neutral,
অঙ্কের ছুতোয় একটু আনন্দ করতে চেয়েছি মাত্র।,Positive,
দুইটা ঈদ চলে গেলো একটুও হাসিনি।,Negative,
তোমাকে দেখে আমার ছেলেটাও তোমার মত হবে।,Neutral,
"অসাধারণ ছিলো সেই অভিজ্ঞতা, আপনার সাবলীল বাচনভঙ্গি গনিতের প্রতি উৎসাহ, আগ্রহ বাড়িয়ে দেয় বহুগুন।",Positive,
দুএকজন শিক্ষক বাদে বাকিরা সবাই পড়াশোনাটাকে করলা বানিয়ে ফেলছে।,Negative,
"ভাষার সরলতায় বিমোহিত হয়ে ছিল, অঙ্কটা আর বোঝা হলো না!",Positive,
গুরু স্কুল জীবনে আপনার দেখা পেলে আমি জিনিয়াস হয়ে যেতাম।,Positive,
"আপনার মত শিক্ষক যদি আমার মত ডাল স্টুডেন্টরা সবাই পেতো, তবে সবার জীবন চকচক করতো বা পড়া লিখা এতো কঠিন হতো না।",Positive,
গণিতের প্রতি অন্যরকম একটা ভালো লাগা কাজ করে।,Positive,
আর ভালো লাগানোর পিছনে আপনার অবদান অনস্বীকার্য।,Positive,
"আপনার বোঝানোর ক্ষমতা, প্রেজেন্টেশন স্কিল আমাকে বরাবরই মুগ্ধ করে।",Positive,
"ধন্যবাদ ভাই, তবে গণিতের অনার্স-মাস্টার্স লেভেলের টপিক নিয়ে কিছু ভিডিও তৈরি করলে তারা উপকৃত হত।",Positive,
গণিতের প্রতি এক বিরাট ভালোবাসার সৃষ্টি হয়েছে ইউটিউবে চমক ভাইয়ার ভিডিওগুলো দেখে।,Positive,
"গণিতকে ভালোবাসা, গণিতকে ফিল করতে শিখেছি আপনার কাছ থেকে,",Positive,
কিন্তু আফসোস সরাসরি আপনাকে দেখার সৌভাগ্য এখনো হয়নি,Negative,
বই সুন্দর হয়েছে লেখাটা। গণিতের ভালোবাসায় ছেয়ে যাক গোটা বাংলাদেশ।,Positive,
"ভাই, এত বড় পোস্ট আকারে না দিয়ে ভিডিও আকারে দিলে বেশি সুন্দর হয়।",Positive,
"অসংখ্য ধন্যবাদ দাদা। জটিল বীজজাতীয় প্রক্রিয়া টা মগ, বাতলি দিয়ে উপস্থাপনের জন্য।",Positive,
"ভাইয়া, ত্রিকোণমিতি নিয়ে যদি ভিডিও বা কিছু লিখতেম তা হলো ভালো হতো।",Positive,
লেখাটা অসাধারণ হয়েছে কিন্তু সাথে ভিডিও হইলে আরো ভালো হতো।,Positive,
"আমার জানা মতে আপনি হলেন বিশ্বের তৃতীয় ব্যক্তি যিনি নিজ দেশের ভাষায় প্যালিন্ড্রোম গান গাইতে, সুর করতে ও কণ্ঠ দিতে সক্ষম হয়েছেন।",Positive,
"এই প্যালিন্ড্রোম গান দেখে বড় চিন্তায় পড়ে গেলাম, এটা ও সম্ভব ছিল! অসাধারণ🤔❤️❤️",Positive,
এই প্যালিন্ড্রোম লিরিক দেখে শেষ ১০ মিনিট তব্দা খেয়ে বসে ছিলাম। অসাধারণ!,Positive,
"একটা মানুষ কতটা ম্যাথ নিয়ে ভাবলে, ভালবাসলে গানের মাঝেও প্যালিনড্রম নিয়ে আসতে পারে 😁",Positive,
সত্যি বলতে গেলে কিছু অংশ নিয়ে আমি খুশি না। আরও সময় দিলে আরেকটু ভালো করে লেখা যেত।,Negative,
কী জটিল কাজ রে বাবা....!!! এমন জটিল কাজ আপনার দ্বারাই সম্ভব...,Positive,
রেকর্ডিং এর দিনের ছবিগুলো এখনো যখন দেখি বুকটা কেমন খা খা করে।,Negative,
" দৃশ্য গ্রহণ, গানের কথা দুটোই চমৎকার। অার গায়কের প্রশংসা করা তো অবশ্যক ❤",Positive,
আপনার সাথে এই কাজটার সুবাদে দেখা হওয়া তারপর সখ্যতা পুরো ব্যাপারটাই আমার কাছে অনেক আনন্দের।,Positive,
"অনেকের ই হয়ত এই ভার্সন টা ভালো লাগবে, বাট আমার আগের টাই বেশি ভালো লাগে।",Negative,
আলাউদ্দিন খিলজি একজন মহান মুসলিম শাসক ছিলেন।,Positive,
কোন মানুষই ভুল-ত্রুটির উর্ধ্বে নয়৷,Neutral,
ভারতবর্ষের সাধারণ হিন্দুরা আলাউদ্দিন খিলজির কারণে মঙ্গলিয়দের হাত থেকে রক্ষা পেয়েছিল।,Positive,
আলাউদ্দিনকে 'বিদেশি শাসক',Neutral,
যে যার ধর্মীয় কাহিনী চোখ বুঝে বিশ্বাস করে আর অন্যের বেলায় খুব হাসতে পারে।,Negative,
ধর্মীয় উপাখ্যান গুলো আসলেই খুব মজার। যেকোনো ধর্মমতের সৃষ্টিতত্ত্ব আরও বেশি বৈচিত্র্যময়।,Positive,
মিথ গুলো বাদ দিলে মায়ান সভ্যতা ছিলো জ্ঞান বিজ্ঞানে অনেক এগিয়ে ...,Positive,
কারো পছন্দ না হলে দয়া করে ইগনোর করবেন কিন্তু আজে বাজে কথা বলে কেউ তার বংশের পরিচয় দিবেন না,Negative,
"মানব সৃষ্টির সুক্ষ ব্যাখ্যায় ইসলামী মতবাদের মতো সুক্ষ মতবাদ আর নেই,,,",Positive,
আমি বলবো এটা একটা গাজা খোরি কাহিনী ছাড়া আর কিছু না। ,Negative,
"আজও মানুষ প্রাগ ঐতিহাসিক স্তরেই আছে, একটু ভিন্ন আঙ্গিকে।",Neutral,
রহমত যখন তুলে নেওয়া হয় তখনি ঘটে এমনটা,Negative,
অবশ্যই তোমরা তোমাদের কৃতকর্মের ফল ভোগ করবে (উভজগতেই),Neutral,
"এখনতো সভ্যরাই আধুনিক কায়দায় রক্ত খাচ্ছে,",Negative,
রোয়ার বাংলা কে বলছি খ্রিষ্টপূর্ব আগের কিছু ইতিহাস জানাবেন,Neutral,
"বিশ্বাস করতে কষ্ট হলেও ইতিহাসে এমন ঘটনা বহুবারই ঘটেছে, যখন ক্ষুধার জ্বালায় মানুষ মানুষকে খুন করে খেয়ে নিয়েছে তার শরীরের নানা অঙ্গপ্রত্যঙ্গ।",Negative,
জেনেসারি গঠনের জন্য কালেকশনের অন্যতম সোর্স ছিলো অভাবী বাচ্চাদের তুলে আনা।,Negative,
অটোম্যানরা দাপিয়ে ফিরেছে পারস্য সীমান্ত থেকে ভিয়েনা পর্যন্ত।,Neutral,
আমরা জদি অটোম‍্যানদের নিয়ে র্গব করি তাহলে বৃটিশ্দের কে নিয়েও বৃটেন র্গব করতে পারবে।,Negative,
শিরোনামের সাথে মূল বক্তব্যর কোন মিল নাই ইতিহাসের বিকৃতি করা হয়েছে।,Negative,
এক একটা দেশ বিশ্বের দরবারে প্রথম হওয়ার জন্য বা যশ ও খ্যাতির জন্য এই পারমাণবিক বোমা গুলো সাগরে টেস্ট করছে l,Neutral,
"ঘু‌রে‌ফি‌রে একটাই কথা, এই পারমাণ‌বিক বোমা গু‌লো মানুষ মারার জ‌নেই।",Negative,
মান‌ুষই একমাত্র প্রাণী যারা নি‌জে‌রাই নি‌জে‌দের ধংস করার প্রতি‌যোতায় ‌নে‌মে‌ছে।,Negative,
"শক্তির জানান দিতে প্রকৃতি বিপন্ন, পরিবেশ বাদীগন যাই বলুন তাদের কথা কেউ শোনে না।",Negative,
আপনাদের এই পেজটাই একমাত্র যেটা আমি ফলো করি। ভীষণ ভালো লাগে পড়তে।,Positive,
বাংলার ইতিহাসের এক উপেক্ষিত চ্যাপ্টার এই ১২ ভূঁইয়া রাজত্ব I,,
এই নিয়ে আক্ষেপ সুনীল গঙ্গোপাধ্যায় করে গেছেন I,Negative,
সে মতে বৃটিশরা কুয়েতের অর্ধেক ইরাক অর্ধেক সৌদিকে দেওয়ার কথা বলে পরবর্তীতে না দিয়ে সমস্যা পুঁতে দিয়েছিলো।,Negative,
উপসাগরীর যুদ্ধে বাংলাদেশের নিরপেক্ষ থাকাই শ্রেয় ছিল ..,Positive,
তার সিদ্ধান্তের কারণে কুয়েতের যুদ্ধের পরে তিন লক্ষ বাংলাদেশি চাকরি এবং মিডিলইস্টে বাংলাদেশের ভাবমূর্তি বাড়ার ফলে লক্ষ লোকের চাকরি হয়েছিল।,Positive,
কিন্তু পাকিস্তান কর্তৃক প্রভাবিত হয়ে মধ্যপ্রাচ্যের মুসলিম দেশগুলু একজোট হয়ে বাংলাদেশ স্বীকৃতি প্রদান করা থেকে বিরত থাকে।,Negative,
"শিরোনাম হওয়া উচিত ছিল এই   একটি টুইনটাওয়ার এর বিনিময়ে, দু দুটো রাষ্ট্র দখল,",Neutral,
যুক্তরাষ্ট্র নিজেরাই তাদের টুইন টাওয়ার ধ্বংস করেছিল আর তার দোষ চাপিয়ে ছিল লাদেনের উপর,Negative,
"কই পন্ডিত ভাইরা, আপনাদের কমেন্ট পড়তে আসছি! 😂",Negative,
ভাই বলতে পারেন কতজন মানুষ মারা গিয়েছিল? ...,Neutral,
মুসলমানদের হত্যার পরিকল্পনা মাত্র,Negative,
নিজের হোগার মরিচ ঢুকিয়ে নিজেই শোক পালন করুক ওরা,Negative,
অামেরিকার মত দেশে লাদেন ঢুকে হামলা চালিয়েছে তাও বিমান ছিনতাই করে?,Negative,
ওই ঘটনায় বিএনপি জামাতের হাত থাকতে পারে।,Neutral,
চলতি মাসেই বডির ভিডিও টা না আসলে বয়কট করে দিবো😐,Negative,
ভাই তোমার জন্য দোয়া করি।,Positive,
পরিচ্ছন্নতা শুরু হোক অামার থেকে❤,Positive,
ক্লিনিং ইভেন্ট গুলো আবার হবে??,Neutral,
এই ধরনের ছবি দেখলে মন্টা তাজা হয়,Positive,
বিস্তারিত লিখে পোস্ট করুন ভাইয়া।,Neutral,
"তিতাস এর অনিয়ম এর কারণে এত গুলো প্রান গেলো,, দয়া করে এর বিচার দাবি করুন,,,,,,",Negative,
তিতাসের লাইন কি এসির সাথে সম্পর্ক ছিলো?,Neutral,
ওটা বুঝতে হলে আপনার মস্তিষ্কের সাথে সংশ্লিষ্ট বৈষয়িক জ্ঞান সম্পর্কিত থাকতে হবে!,Neutral,
যাঁরা পঞ্চাশ হাজার টাকার ব্যাপারটা জানেন না তাঁরা দয়া করে টিভি অন করে খবর দেখুন,Neutral,
আপনি ২ দিন পর টের পেলেন?,Neutral,
তিতাসের অনিয়মের কারণে এত গুলো প্রাণ গেল হে আল্লাহ  সকলকে জান্নাত নসিব করুন আমিন,Negative,
খবর দেখে যতটুকু বুঝলাম তিতাসগ্যাস প্রতিষ্ঠানের গাফিলতির কারণে এত বড় দুর্ঘটনা। 😥,Negative,
কেন এই গ্রাফিক ও ট্রিগার ওয়ার্নিং ছবিগুলো এভাবে শেয়ার করছেন? 😑,Negative,
এটা কি করে দূর্ঘটনা হয় প্রিয় ভাই? এটা হত্যাকাণ্ড নয় কি?,Negative,
নারায়ণগঞ্জ শাখা টিম নিরলস সেবা করে যাচ্ছেন,Positive,
দ্রুত তদন্ত করে দোষীদের বিচারের আওতায় আনা হোক।,Positive,
যাঁরা এই ঘটনার সাথে জড়িত সকলের বিচারের ব্যবস্থা করুন।,Negative,
"এসি বিস্ফোরণ নই, এটা গ্যাস বিস্ফোরণ হয়েছে",Neutral,
ঘটনার সঠিক তদন্ত প্রতিবেদন প্রকাশ করা হোক,Neutral,
কিন্তু মন্ত্রী বিপু এ ঘটনায় মসজিদকে অবৈধ আখ্যা দিয়ে বিস্ফোরক মন্তব্য ছাড়ছে কেনো?,Neutral,
সৃষ্টিকর্তার কাছে তাদের আত্মার শান্তি কামনা করি।,Positive,
"হে আল্লাহ আপনি সবাইকে সুস্থ করে দিন,আমিন😭",Positive,
আল্লাহ সবাইকে হেফাজত করুন,Positive,
ইয়া আল্লাহ তুমি সহায় হও 😓😓,Positive,
কত গুলো রিদয়হিন মানুষ হাহা দিসে😒,Negative,
"আল্লাহ শহীদ হিসেবে কবুল করুন,আমিন।",Positive,
আপনার জন্য শুভ কামনা সবসময়।,Positive,
"রাতের ভোটে এমপি না হলে জনপ্রিয়তা বোধহয় আরও বেশী থাকতো,",Negative,
"করোনার বিরুদ্ধে লড়াই, আল্লাহর বিরুদ্ধে নয়।",Negative,
"ধন্যবাদ জানাই করুনাময় সৃষ্টিকর্তাকে যে আপনাকে এই মাহামারি ভাইরাস থেকে রক্ষা করেছেন।
এগিয়ে যান আলোর পথে প্রিয় শ্রদ্ধেয় বড় ভাই।",Positive,
